Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,10/15,10/16,10/17,10/18,10/19,10/20,10/21,10/22,10/23,10/24,10/25,10/26,10/27,10/28,10/29,10/30,10/31,11/1,11/2,11/3,11/4,11/5,11/6,11/7,11/8,11/9,11/10,11/11,11/12,11/13,11/14,11/15,11/16,11/17,11/18,11/19,11/20,11/21,11/22,11/23,11/24,11/25,11/26,11/27
ABBV,AbbVie,Health Care,Pharmaceuticals,"North Chicago, Illinois",58,53,56,56,55,57,61,65,68,65,60,60,57,54,51,52,51,46,50,48,52,47,50,48,43,43,43,43,40,38,35,39,35,37,33,30,30,34,39,41,44,48,47,43
ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",40,45,45,48,49,52,56,59,62,58,61,58,53,57,62,61,66,61,66,61,56,53,54,59,58,61,60,60,57,56,57,52,53,53,50,53,49,47,45,48,48,50,45,42
ADM,ADM,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",59,58,38,43,46,51,53,50,51,48,48,49,50,51,53,55,59,59,63,59,61,61,61,58,56,61,61,56,57,62,64,63,63,60,63,65,63,62,57,62,66,62,65,65
ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",46,51,50,53,52,52,47,51,53,48,49,46,49,50,51,54,52,57,60,60,63,68,64,65,63,61,60,63,62,61,57,54,51,47,50,47,52,49,44,43,38,33,31,30
ADP,ADP,Industrials,Human Resource & Employment Services,"Roseland, New Jersey",60,58,46,42,42,46,46,48,44,39,35,39,39,43,47,51,55,58,53,64,63,64,65,61,59,55,53,53,55,53,48,49,52,50,49,52,50,48,47,49,49,46,41,41
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",51,49,62,58,60,55,60,56,58,53,52,54,49,49,50,51,55,51,56,50,51,49,44,47,48,50,46,47,43,48,43,47,46,48,46,47,48,49,52,55,52,57,52,49
AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",51,53,47,43,45,50,45,41,39,38,36,36,31,32,30,30,30,34,32,39,38,40,38,36,31,33,30,30,30,30,34,35,32,30,33,34,33,34,30,30,30,33,38,41
A,Agilent Technologies,Health Care,Health Care Equipment,"Santa Clara, California",58,55,40,41,45,44,40,39,34,33,35,35,31,30,31,30,30,30,30,30,30,34,31,30,30,30,35,37,34,38,42,38,40,40,35,37,32,31,35,37,38,41,43,47
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",59,54,54,58,60,65,60,57,54,57,59,62,64,63,63,58,61,60,64,55,57,60,61,61,63,63,67,70,70,70,70,67,70,70,70,70,67,70,69,66,67,70,70,70
APD,Air Products and Chemicals,Materials,Industrial Gases,"Allentown, Pennsylvania",50,47,59,59,62,66,65,63,66,64,59,57,54,54,51,48,48,48,47,47,45,47,49,45,43,41,37,42,47,44,41,36,32,30,30,34,30,33,36,32,37,35,35,36
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",57,55,53,52,52,48,46,51,54,49,50,50,46,43,42,45,45,46,42,42,45,47,46,49,50,54,53,56,55,56,54,51,51,50,55,56,56,61,63,68,67,69,70,67
ALK,Alaska Air Group,Industrials,Passenger Airlines,"SeaTac, Washington",57,56,52,48,51,46,51,52,51,52,56,55,58,61,65,69,66,65,65,70,67,69,70,70,67,66,70,70,70,67,62,59,63,61,60,61,58,54,58,57,54,59,55,60
ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",57,62,48,45,44,44,49,53,56,53,51,49,54,51,53,53,57,54,58,49,45,43,46,50,54,49,47,50,50,48,51,55,57,61,62,60,59,60,65,63,58,57,53,50
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",41,40,40,38,38,41,39,43,47,48,51,49,46,46,48,43,47,49,44,52,51,47,50,47,47,44,47,48,47,50,51,52,55,53,52,52,52,48,46,45,49,47,43,46
ALGN,Align Technology,Health Care,Health Care Supplies,"Tempe, Arizona",54,56,48,43,48,49,45,46,44,49,45,45,50,46,44,46,44,39,38,34,38,42,44,49,48,49,52,55,55,57,57,61,65,61,60,55,50,45,44,44,44,47,49,53
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",60,64,42,43,43,47,52,57,52,48,43,46,44,40,41,39,40,38,35,41,41,45,40,38,38,40,37,35,35,31,30,30,33,30,30,32,34,38,33,32,30,34,35,37
LNT,Alliant Energy,Utilities,Electric Utilities,"Madison, Wisconsin",50,50,38,34,33,33,33,30,32,35,34,37,35,32,34,31,30,32,36,36,33,37,38,36,32,30,30,30,30,32,34,34,36,35,31,35,32,34,37,42,46,49,51,52
ALL,Allstate,Financials,Property & Casualty Insurance,"Northbrook, Illinois",41,37,49,51,48,52,57,62,64,69,70,69,66,62,58,53,53,49,49,41,42,39,44,47,47,42,46,45,42,45,46,45,46,41,44,43,42,39,40,41,37,37,40,36
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",44,41,47,44,44,42,39,42,41,40,45,42,39,40,45,49,45,49,45,50,48,52,57,57,56,60,65,65,61,65,67,66,67,65,60,64,66,67,65,63,63,63,61,62
MO,Altria,Consumer Staples,Tobacco,"Richmond, Virginia",57,61,50,54,50,45,43,45,50,46,49,51,51,48,44,47,43,48,52,43,43,41,38,36,36,35,31,34,37,34,37,33,30,30,30,31,30,30,30,30,30,30,32,30
AMZN,Amazon,Consumer Discretionary,Broadline Retail,"Seattle, Washington",49,49,52,54,57,52,47,42,43,39,43,41,40,41,43,44,49,53,58,50,48,43,40,37,40,42,47,48,46,51,54,57,59,62,67,70,68,65,61,65,67,70,68,66
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,"Warmley, Bristol, United Kingdom",48,44,53,57,59,57,61,63,68,70,67,69,65,69,68,67,67,64,63,70,69,70,70,66,64,63,61,64,67,70,67,70,70,70,68,70,66,68,67,69,70,67,69,68
AMD,AMD,Information Technology,Semiconductors,"Santa Clara, California",52,47,56,57,60,64,62,61,61,59,64,69,70,67,63,64,66,70,70,70,69,70,70,68,70,68,70,67,62,67,70,70,70,70,67,69,69,70,70,70,70,66,64,69
AEE,Ameren,Utilities,Multi-Utilities,"St. Louis, Missouri",47,44,51,50,49,48,48,51,54,49,46,45,49,44,49,51,49,48,43,54,59,55,55,56,61,63,67,70,65,67,70,70,70,70,70,68,65,67,65,70,65,68,70,65
AAL,American Airlines Group,Industrials,Passenger Airlines,"Fort Worth, Texas",49,44,45,46,41,43,46,43,45,47,47,45,40,39,41,37,38,34,37,30,34,37,33,37,37,33,33,35,38,43,42,45,47,50,47,42,37,38,35,38,37,33,32,30
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",54,50,51,52,52,53,51,53,56,60,64,65,70,70,68,65,66,66,63,63,66,65,62,62,61,66,64,67,68,63,68,64,69,69,70,70,68,67,70,70,66,65,65,62
AXP,American Express,Financials,Consumer Finance,"New York City, New York",51,46,49,51,54,52,50,47,44,47,48,48,52,49,47,47,51,52,57,59,64,65,70,70,65,64,59,54,49,44,46,42,43,41,42,40,40,36,38,42,41,39,40,42
AIG,American International Group,Financials,Property & Casualty Insurance,"New York City, New York",43,47,58,55,53,51,56,57,59,60,57,61,59,59,61,63,64,62,65,60,56,59,55,56,54,50,47,43,38,34,38,43,40,38,40,39,43,45,46,43,39,40,44,46
AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",42,46,47,51,53,56,60,63,62,63,60,60,62,67,70,68,63,60,61,62,66,68,70,66,70,70,70,66,64,60,58,60,59,61,61,59,58,62,61,57,53,55,54,51
AWK,American Water Works,Utilities,Water Utilities,"Camden, New Jersey",54,57,46,49,54,57,60,61,58,56,52,48,44,47,45,44,41,40,42,34,37,40,44,48,45,40,37,35,33,34,38,36,39,34,31,34,32,36,36,40,35,31,33,37
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",52,49,52,50,48,50,54,50,54,55,54,55,58,63,67,70,70,67,62,70,70,70,68,64,69,65,69,64,68,64,69,66,70,70,65,60,61,65,65,61,61,63,68,69
AME,Ametek,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",46,48,55,56,59,56,59,56,61,64,59,64,62,66,61,59,64,68,64,68,70,69,70,66,69,70,69,67,68,70,70,66,67,67,67,64,68,68,70,70,70,68,67,70
AMGN,Amgen,Health Care,Biotechnology,"Thousand Oaks, California",57,57,61,63,64,63,60,61,60,65,61,60,55,55,51,46,49,48,53,47,42,46,46,46,46,41,44,46,47,43,39,34,38,35,30,30,30,31,30,30,32,33,30,33
APH,Amphenol,Information Technology,Electronic Components,"Wallingford, Connecticut",54,50,41,36,39,44,45,43,47,44,46,51,48,50,46,51,54,52,49,52,55,58,58,59,64,66,64,63,61,63,64,69,67,62,57,59,60,64,62,65,60,64,68,67
ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",60,60,55,56,60,60,61,62,59,60,61,66,65,63,59,57,60,63,62,60,65,61,61,57,53,57,61,58,63,63,67,66,68,64,66,61,59,60,62,60,63,63,66,65
ANSS,Ansys,Information Technology,Application Software,"Canonsburg, Pennsylvania",59,63,45,42,47,52,48,47,50,49,52,53,52,50,47,43,40,39,34,40,36,40,44,40,40,40,38,40,43,45,43,48,47,52,57,61,66,62,60,62,61,64,63,63
AON,Aon,Financials,Insurance Brokers,"London, UK",44,39,56,55,50,55,54,58,60,61,59,63,62,65,66,69,70,70,70,62,61,56,55,60,62,67,70,66,62,63,63,65,70,70,66,61,59,63,65,67,66,70,69,70
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",54,51,44,43,46,42,38,35,40,38,33,37,38,34,34,39,37,32,36,34,34,30,31,30,33,35,39,38,36,33,30,34,35,38,38,34,34,37,34,30,33,30,30,35
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",52,48,52,54,54,55,52,51,50,53,53,48,45,40,37,38,36,38,35,39,37,40,42,41,46,50,48,45,46,41,40,39,39,38,42,38,41,45,42,39,42,43,48,44
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,"Santa Clara, California",52,55,38,41,46,44,49,54,55,59,58,62,58,54,59,59,61,61,65,52,48,47,45,45,41,40,37,33,38,43,46,48,49,50,49,46,43,43,47,47,42,37,38,36
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,"Dublin, Ireland",42,45,50,51,47,44,42,39,43,47,51,51,54,52,50,48,44,48,43,45,45,49,49,47,52,54,53,57,61,64,66,67,65,60,61,60,65,67,62,63,58,62,66,69
ACGL,Arch Capital Group,Financials,Reinsurance,"Hamilton, Bermuda",48,46,42,47,48,47,49,54,56,52,55,50,47,42,37,36,38,37,35,38,42,47,42,43,38,33,38,42,38,42,40,36,33,38,39,34,30,30,30,32,32,35,32,32
ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",42,40,45,42,45,49,46,46,44,42,46,48,43,38,37,35,38,34,36,30,30,30,30,33,30,35,33,36,35,32,37,39,36,32,30,30,30,30,33,35,35,30,32,35
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Rolling Meadows, Illinois",51,49,54,51,53,57,57,60,61,64,67,70,66,70,67,67,70,70,70,69,70,69,70,68,70,66,66,69,70,70,69,70,70,70,69,70,70,67,62,61,58,60,57,57
AIZ,Assurant,Financials,Multi-line Insurance,"Atlanta, Georgia",50,45,42,40,41,42,39,35,30,35,32,37,39,41,36,32,30,35,37,38,40,40,35,30,30,30,35,33,37,39,35,36,34,35,36,39,34,39,41,45,50,49,51,46
T,AT&T,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",56,51,61,65,69,66,70,70,68,64,60,62,63,68,66,68,66,68,67,67,70,70,67,64,69,70,70,68,69,69,65,67,70,69,64,61,65,62,57,55,52,47,45,40
ATO,Atmos Energy,Utilities,Gas Utilities,"Dallas, Texas",49,54,59,57,58,56,57,53,56,56,59,54,59,55,56,60,58,60,64,61,63,58,63,67,66,66,69,70,70,70,68,65,61,66,66,68,65,61,63,67,66,63,58,61
ADSK,Autodesk,Information Technology,Application Software,"San Francisco, California",55,52,44,48,51,54,59,55,60,65,62,61,61,60,62,60,58,59,60,60,57,58,61,59,58,58,58,55,53,52,47,48,43,46,50,49,51,51,55,52,52,47,50,47
AZO,AutoZone,Consumer Discretionary,Automotive Retail,"Memphis, Tennessee",43,43,43,45,42,42,40,41,45,46,45,42,43,46,51,53,54,54,59,56,61,58,60,65,69,70,70,70,65,65,67,64,60,60,57,53,55,57,61,59,60,56,54,50
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,"Arlington, Virginia",44,47,41,36,37,35,37,37,39,36,31,30,30,30,31,30,30,35,34,37,38,33,31,35,34,34,32,30,35,31,30,35,30,30,30,34,36,35,38,37,40,39,36,33
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,"Mentor, Ohio",42,40,44,43,42,42,45,40,44,41,45,48,45,49,51,49,54,50,53,54,59,62,65,66,63,65,62,57,56,60,64,65,69,68,70,70,66,62,64,64,64,63,59,57
AXON,Axon Enterprise,Industrials,Aerospace & Defense,"Scottsdale, Arizona",43,40,41,40,44,45,46,48,45,40,39,44,46,44,49,45,43,43,41,38,33,36,41,41,45,46,48,48,47,49,50,49,54,49,47,45,47,48,49,46,44,40,40,44
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,"Houston, Texas",46,42,52,54,50,45,40,44,48,53,49,49,46,45,47,46,49,49,54,51,53,50,55,56,60,55,55,59,60,57,56,60,55,51,51,54,53,51,55,55,54,52,50,50
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers","Broomfield, Colorado",44,39,39,43,44,48,43,44,41,38,42,39,44,40,42,41,45,50,45,54,53,58,57,53,53,58,62,64,61,62,62,62,60,58,54,50,54,55,53,48,45,49,48,50
BAC,Bank of America,Financials,Diversified Banks,"Charlotte, North Carolina",50,53,62,61,64,64,62,57,62,64,64,61,60,65,67,68,70,65,61,60,61,64,65,70,70,70,70,65,63,67,63,62,61,65,68,69,66,67,66,70,70,69,65,62
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,Specialty Stores,"Columbus, Ohio",42,43,60,55,54,49,52,49,51,47,44,39,38,39,41,42,41,36,40,31,32,30,33,30,30,31,34,34,34,34,30,30,31,30,33,37,32,30,32,30,32,31,36,36
BAX,Baxter International,Health Care,Health Care Equipment,"Deerfield, Illinois",57,57,54,59,55,58,59,63,67,70,70,67,68,65,63,63,64,59,63,50,55,54,58,62,58,63,62,57,60,61,56,52,52,56,61,64,62,57,52,50,49,50,46,43
BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",47,45,59,56,58,60,55,53,54,50,45,44,47,45,46,43,47,50,48,54,59,64,64,66,68,70,70,70,69,70,69,69,70,70,70,69,65,65,69,68,66,67,70,70
WRB,Berkley,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",60,55,46,44,45,48,45,48,44,41,41,42,37,41,36,34,31,30,30,34,38,42,37,40,45,44,47,51,46,48,48,45,47,49,53,50,50,50,48,53,58,60,59,55
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",51,46,43,45,44,47,52,54,49,46,45,44,45,47,46,49,46,46,41,47,43,47,46,50,52,53,58,62,60,60,57,53,53,56,53,56,61,64,67,66,62,67,64,64
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",53,53,50,53,53,49,53,57,60,56,57,52,56,61,66,69,69,65,68,61,58,63,66,65,66,68,70,70,70,67,63,58,53,53,58,60,55,51,48,47,47,46,43,48
BIO,Bio-Rad,Health Care,Life Sciences Tools & Services,"Hercules, California",57,62,48,45,46,48,46,44,46,44,40,41,38,39,34,39,42,46,41,45,41,42,43,48,52,49,54,57,53,58,54,50,50,49,47,52,56,60,59,58,59,60,55,50
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,"Minneapolis, Minnesota",48,45,61,66,64,59,55,51,50,52,55,50,45,42,46,49,54,54,50,54,56,54,52,53,58,62,65,64,68,70,66,61,64,60,65,60,60,55,53,54,50,54,56,51
BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",45,48,51,48,44,48,48,48,49,54,52,49,49,45,40,40,35,30,30,30,33,30,31,32,30,34,35,37,36,31,30,31,33,34,38,40,42,45,49,54,53,50,54,59
BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York City, New York",41,45,42,44,47,50,55,56,53,49,53,48,44,39,40,41,42,42,39,43,40,38,34,30,30,32,30,30,30,30,30,30,30,30,32,32,30,34,35,35,40,41,46,42
BX,Blackstone,Financials,Asset Management & Custody Banks,"New York City, New York",54,57,47,51,51,51,53,55,58,63,62,67,70,68,69,70,69,70,70,68,68,65,64,64,60,62,66,70,70,68,70,70,70,70,67,70,70,70,65,69,64,69,67,63
BK,BNY Mellon,Financials,Asset Management & Custody Banks,"New York City, New York",58,60,49,53,55,51,52,47,42,40,41,42,47,43,48,52,53,48,46,47,52,53,49,45,46,50,53,58,60,63,66,63,67,63,59,57,54,57,55,56,61,62,57,54
BA,Boeing,Industrials,Aerospace & Defense,"Arlington, Virginia",40,36,43,42,42,44,40,43,43,38,35,38,41,45,48,48,51,54,52,60,58,57,61,65,61,62,60,65,70,70,68,63,64,61,66,64,64,66,62,67,62,59,56,58
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Norwalk, Connecticut",42,47,53,55,58,59,63,61,56,53,56,56,58,60,56,53,51,49,46,55,54,54,49,46,44,44,48,45,49,54,51,50,51,46,42,45,43,39,42,39,39,39,38,33
BWA,BorgWarner,Consumer Discretionary,Automotive Parts & Equipment,"Auburn Hills, Michigan",55,57,53,48,44,43,42,37,32,31,33,33,31,34,38,37,36,39,34,47,47,42,39,34,36,31,30,30,30,30,30,32,30,30,30,30,30,30,34,30,30,33,32,30
BXP,Boston Properties,Real Estate,Office REITs,"Boston, Massachusetts",47,51,54,53,54,51,55,57,59,61,65,62,63,68,70,70,66,67,62,68,67,69,70,70,69,69,69,64,66,66,62,60,65,65,70,67,70,66,67,70,70,70,70,70
BSX,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts",43,39,51,50,54,54,49,48,47,42,43,48,52,52,54,51,52,52,54,53,56,58,63,64,69,68,70,67,67,70,66,70,66,69,65,65,66,69,69,65,66,67,64,60
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,"New York City, New York",55,50,54,52,57,53,54,49,50,47,47,46,51,48,44,41,45,47,48,53,58,57,57,55,58,60,58,53,51,55,60,55,51,50,45,40,38,35,31,30,30,34,37,32
AVGO,Broadcom Inc.,Information Technology,Semiconductors,"San Jose, California",43,42,62,60,58,59,57,54,56,51,48,49,46,50,49,47,47,47,46,52,56,59,57,60,60,57,52,49,45,40,38,36,37,36,37,34,30,32,30,30,31,34,32,35
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,"Lake Success, New York",50,48,52,51,52,54,49,47,45,47,49,54,53,50,49,48,52,53,50,55,51,48,50,46,47,47,48,52,51,47,52,51,51,50,55,56,60,57,59,63,66,66,70,70
BRO,Brown & Brown,Financials,Insurance Brokers,"Daytona Beach, Florida",55,52,49,46,44,40,45,50,49,54,56,52,55,54,51,48,44,44,49,41,36,40,40,45,44,39,43,48,49,47,49,50,54,55,52,57,59,55,54,52,51,49,44,49
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",45,44,39,35,36,31,32,34,39,42,44,45,50,51,55,52,50,46,50,42,38,39,37,42,38,42,38,36,31,34,37,42,45,42,41,38,43,48,52,57,53,49,54,50
BG,Bunge Limited,Consumer Staples,Agricultural Products & Services,"Chesterfield, Missouri",57,52,54,57,58,55,55,54,59,57,60,64,59,57,55,52,50,48,47,47,49,44,45,41,41,45,40,42,41,41,36,35,32,30,30,30,30,35,34,35,38,41,43,41
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",43,45,46,45,50,48,46,51,50,54,50,51,47,46,44,48,52,57,54,61,56,57,61,62,63,60,65,70,65,61,59,58,55,55,52,50,46,47,48,53,53,57,53,55
CDNS,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",47,49,61,66,70,70,70,68,63,66,70,70,70,68,70,70,70,70,68,66,68,67,69,70,70,70,70,70,70,70,70,70,70,70,65,64,59,63,66,63,59,59,58,54
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,"Reno, Nevada",57,52,43,47,47,48,52,53,53,49,53,50,55,59,64,60,55,60,63,56,58,62,65,69,67,65,69,64,62,66,66,61,64,64,66,67,65,64,68,70,68,65,66,67
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,"Houston, Texas",44,45,53,53,55,50,52,52,55,60,55,60,63,60,64,62,63,67,64,69,70,70,69,70,70,70,67,66,66,62,61,61,63,63,64,59,59,63,67,70,70,70,70,65
CPB,Campbell Soup Company,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",57,62,40,44,43,45,47,52,51,47,43,47,44,47,48,44,48,53,55,50,55,58,55,60,55,53,54,54,56,52,56,51,54,52,52,48,47,46,50,53,57,61,64,67
COF,Capital One,Financials,Consumer Finance,"Tysons Corner, Virginia",53,57,54,52,51,50,52,56,61,66,61,59,60,65,65,61,66,66,70,70,70,65,67,66,70,68,67,66,63,59,60,57,52,56,52,50,45,45,41,36,35,32,31,34
CAH,Cardinal Health,Health Care,Health Care Distributors,"Dublin, Ohio",55,59,38,37,38,42,45,48,51,49,47,50,46,42,47,51,48,44,40,40,45,45,49,51,55,59,59,56,57,59,61,57,60,56,57,52,54,56,56,58,60,65,69,70
KMX,CarMax,Consumer Discretionary,Automotive Retail,"Richmond, Virginia",45,46,58,58,60,63,58,61,66,70,67,70,70,70,70,65,67,64,66,59,54,55,54,56,56,57,56,55,58,53,52,47,50,53,52,52,50,49,49,46,51,55,50,47
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",52,57,58,55,57,61,57,57,59,60,57,52,50,51,56,58,56,59,57,57,57,59,63,59,56,57,57,52,54,52,54,57,59,62,57,56,61,62,61,66,64,69,65,63
CARR,Carrier Global,Industrials,Building Products,"Palm Beach Gardens, Florida",45,46,38,39,36,36,39,36,37,32,32,36,34,33,31,31,35,30,30,30,30,30,33,30,34,37,36,40,42,42,42,39,44,46,45,45,44,46,43,41,43,45,44,46
CTLT,Catalent,Health Care,Pharmaceuticals,"Somerset, New Jersey",60,58,37,33,38,41,37,36,36,32,30,33,30,30,35,31,35,38,35,42,42,38,33,30,32,35,38,40,37,32,30,32,37,36,31,32,35,31,30,31,33,32,34,32
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,"Irving, Texas",58,60,52,55,55,55,53,56,55,58,56,59,56,52,50,46,46,49,45,47,52,56,54,51,48,47,48,46,50,45,43,46,41,42,43,44,39,42,42,47,47,47,43,45
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",58,55,47,47,44,49,50,51,56,57,61,57,52,53,58,59,63,61,64,62,63,60,57,55,51,49,47,52,48,47,45,49,51,53,56,61,65,70,66,65,66,61,56,53
CBRE,CBRE Group,Real Estate,Real Estate Services,"Dallas, Texas",42,39,45,50,46,47,49,44,48,52,49,45,47,49,44,43,38,34,33,34,30,30,33,30,34,32,30,32,30,30,30,30,30,30,35,35,35,38,38,43,45,41,45,47
CDW,CDW,Information Technology,Technology Distributors,"Lincolnshire, Illinois",47,45,39,40,44,40,37,37,35,31,30,35,34,38,36,40,38,38,34,43,44,49,50,49,54,53,48,45,40,37,38,42,39,43,42,37,35,37,38,34,36,35,34,31
CE,Celanese,Materials,Specialty Chemicals,"Irving, Texas",44,40,42,43,48,45,48,48,53,58,57,53,54,53,58,58,63,68,67,66,69,69,70,70,69,70,65,69,65,64,66,64,60,65,64,66,64,59,61,63,67,68,65,62
COR,Cencora,Health Care,Health Care Distributors,"Conshohocken, Pennsylvania",54,49,58,54,51,48,51,48,49,50,48,48,47,46,50,49,50,54,54,63,66,70,69,66,70,70,70,67,64,60,64,64,65,65,65,60,65,60,63,58,60,64,60,57
CNC,Centene Corporation,Health Care,Managed Health Care,"St. Louis, Missouri",60,65,43,39,39,41,42,43,39,43,46,44,39,39,42,45,41,45,48,43,43,48,44,42,39,42,42,47,44,40,41,36,31,32,37,34,35,37,38,37,40,39,39,39
CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",48,48,49,52,50,46,50,47,49,52,57,55,50,51,48,45,46,41,40,39,35,37,40,45,43,42,41,39,42,39,35,37,36,37,38,36,38,40,38,41,37,33,33,35
